start Python
Time_data_preparation: 1.1676
Testing expression 3.5[3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5
 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5
 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5
 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5
 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5
Epoch [46/100], lr:0.0035, Loss:0.0438, Time_for_epoch: 22.8790
Epoch [47/100], lr:0.0035, Loss:0.0453, Time_for_epoch: 22.8937
Epoch [48/100], lr:0.0035, Loss:0.0474, Time_for_epoch: 22.9017
Epoch [49/100], lr:0.0035, Loss:0.0394, Time_for_epoch: 22.8712
Epoch [50/100], lr:0.0035, Loss:0.0489, Time_for_epoch: 22.8819
Epoch [51/100], lr:0.0035, Loss:0.0383, Time_for_epoch: 22.8927
Epoch [52/100], lr:0.0035, Loss:0.0369, Time_for_epoch: 22.8969
Epoch [53/100], lr:0.0035, Loss:0.0441, Time_for_epoch: 22.8770
Epoch [54/100], lr:0.0035, Loss:0.0374, Time_for_epoch: 22.9009
Epoch [55/100], lr:0.0035, Loss:0.0420, Time_for_epoch: 22.8780
Epoch [56/100], lr:0.0035, Loss:0.0311, Time_for_epoch: 22.8782
Epoch [57/100], lr:0.0035, Loss:0.0396, Time_for_epoch: 22.8940
Epoch [58/100], lr:0.0035, Loss:0.0386, Time_for_epoch: 22.8939
Epoch [59/100], lr:0.0035, Loss:0.0356, Time_for_epoch: 22.8970
Epoch [60/100], lr:0.0035, Loss:0.0378, Time_for_epoch: 22.9098
Epoch [61/100], lr:0.0035, Loss:0.0329, Time_for_epoch: 22.9324
Epoch [62/100], lr:0.0035, Loss:0.0316, Time_for_epoch: 22.9051
Epoch [63/100], lr:0.0035, Loss:0.0357, Time_for_epoch: 22.8745
Epoch [64/100], lr:0.0035, Loss:0.0358, Time_for_epoch: 22.8819
Epoch [65/100], lr:0.0035, Loss:0.0268, Time_for_epoch: 22.8900
Epoch [66/100], lr:0.0035, Loss:0.0315, Time_for_epoch: 22.8986
Epoch [67/100], lr:0.0035, Loss:0.0353, Time_for_epoch: 22.8670
Epoch [68/100], lr:0.0035, Loss:0.0321, Time_for_epoch: 22.7459
Epoch [69/100], lr:0.0035, Loss:0.0274, Time_for_epoch: 22.7273
Epoch [70/100], lr:0.0035, Loss:0.0332, Time_for_epoch: 22.7255
Epoch [71/100], lr:0.0035, Loss:0.0263, Time_for_epoch: 22.7138
