start Python
Time_data_preparation: 1.1929
Method 0: Epoch [95/100], lr:0.0082, Loss:0.0699, Time_for_epoch: 37.3328
Method 0: Epoch [96/100], lr:0.0100, Loss:0.0679, Time_for_epoch: 37.2482
Method 0: Epoch [97/100], lr:0.0082, Loss:0.0358, Time_for_epoch: 38.3218
Method 0: Epoch [98/100], lr:0.0064, Loss:0.0149, Time_for_epoch: 38.2071
Method 0: Epoch [99/100], lr:0.0046, Loss:0.0061, Time_for_epoch: 37.9573
Method 0: Epoch [100/100], lr:0.0028, Loss:0.0020, Time_for_epoch: 38.0135
Method 0: TestLoss: nan, TestAccuracy: 0.8816, Time_for_individ: 3798.9819
Testing scheduler 1: CyclicLRMethod 1: Epoch [1/100], lr:0.0010, Loss:1.3884, Time_for_epoch: 38.2046
Method 1: Epoch [2/100], lr:0.0208, Loss:1.9929, Time_for_epoch: 38.0139
Method 1: Epoch [3/100], lr:0.0406, Loss:1.4375, Time_for_epoch: 37.8185
Method 1: Epoch [4/100], lr:0.0604, Loss:1.1391, Time_for_epoch: 38.0787
Method 1: Epoch [5/100], lr:0.0802, Loss:0.9893, Time_for_epoch: 37.8010
Method 1: Epoch [6/100], lr:0.1000, Loss:0.9016, Time_for_epoch: 37.8330
Method 1: Epoch [7/100], lr:0.0802, Loss:0.7517, Time_for_epoch: 37.9456
Method 1: Epoch [8/100], lr:0.0604, Loss:0.6401, Time_for_epoch: 38.2326
Method 1: Epoch [9/100], lr:0.0406, Loss:0.5430, Time_for_epoch: 38.1453
Method 1: Epoch [10/100], lr:0.0208, Loss:0.4299, Time_for_epoch: 38.1395
Method 1: Epoch [11/100], lr:0.0010, Loss:0.3178, Time_for_epoch: 38.1193
Method 1: Epoch [12/100], lr:0.0109, Loss:0.3331, Time_for_epoch: 38.2758
Method 1: Epoch [13/100], lr:0.0208, Loss:0.4118, Time_for_epoch: 38.0722
Method 1: Epoch [14/100], lr:0.0307, Loss:0.4663, Time_for_epoch: 38.2026
Method 1: Epoch [15/100], lr:0.0406, Loss:0.5020, Time_for_epoch: 38.2162
Method 1: Epoch [16/100], lr:0.0505, Loss:0.5182, Time_for_epoch: 38.3877
Method 1: Epoch [17/100], lr:0.0406, Loss:0.4413, Time_for_epoch: 38.5168
Method 1: Epoch [18/100], lr:0.0307, Loss:0.3607, Time_for_epoch: 38.4339
Method 1: Epoch [19/100], lr:0.0208, Loss:0.2747, Time_for_epoch: 38.3593
Method 1: Epoch [20/100], lr:0.0109, Loss:0.1814, Time_for_epoch: 38.0754
Method 1: Epoch [21/100], lr:0.0010, Loss:0.1043, Time_for_epoch: 38.3366
Method 1: Epoch [22/100], lr:0.0060, Loss:0.1019, Time_for_epoch: 36.8413
Method 1: Epoch [23/100], lr:0.0109, Loss:0.1409, Time_for_epoch: 38.0820
Method 1: Epoch [24/100], lr:0.0158, Loss:0.2045, Time_for_epoch: 38.2532
Method 1: Epoch [25/100], lr:0.0208, Loss:0.2333, Time_for_epoch: 38.2235
Method 1: Epoch [26/100], lr:0.0258, Loss:0.2658, Time_for_epoch: 38.0281
Method 1: Epoch [27/100], lr:0.0208, Loss:0.1948, Time_for_epoch: 37.9364
Method 1: Epoch [28/100], lr:0.0158, Loss:0.1293, Time_for_epoch: 38.6028
Method 1: Epoch [29/100], lr:0.0109, Loss:0.0758, Time_for_epoch: 34.0936
