start Python
Time_data_preparation: 1.0761
General 0
log(cos(-0.432217))
(-cos(x00))
(exp(x01)*(0.703275-(-0.880432)))
sin(cos(-1.188350))
(-(x01)**((-1.497571)))
(-sin(0.027047))
((x00-x00)*(2.718282/x00))
sin(sin(0.190319))
log((x00*x01))
(-(1.078782/0.093223))
((-(-1.786595))/((-0.540721))**(x00))
(cos(x00)-exp(2.476718))
((-x01)-(x01*0.365828))
(sin(x01)-1/(1.204077))
((x01*x01)/(x01+(-0.348308)))
((x01/(-0.136366))-(-x00))
(((-0.993216)-(-0.624810))-(-x01))
(log(3.141593, 1.044160)-exp(0.222804))
exp(exp(1.157957))
(log(1.230255, x01)/sin(3.141593))
Gen 0 Tree 2: Epoch [43/100], lr:0.0016, Loss:0.0448, Time_for_epoch: 22.1166
Gen 0 Tree 2: Epoch [44/100], lr:0.0016, Loss:0.0417, Time_for_epoch: 22.1164
Gen 0 Tree 2: Epoch [45/100], lr:0.0016, Loss:0.0473, Time_for_epoch: 22.1178
Gen 0 Tree 2: Epoch [46/100], lr:0.0016, Loss:0.0401, Time_for_epoch: 22.1238
Gen 0 Tree 2: Epoch [47/100], lr:0.0016, Loss:0.0413, Time_for_epoch: 22.1123
Gen 0 Tree 2: Epoch [48/100], lr:0.0016, Loss:0.0418, Time_for_epoch: 22.3063
Gen 0 Tree 2: Epoch [49/100], lr:0.0016, Loss:0.0328, Time_for_epoch: 22.1228
Gen 0 Tree 2: Epoch [50/100], lr:0.0016, Loss:0.0434, Time_for_epoch: 22.1246
Gen 0 Tree 2: Epoch [51/100], lr:0.0016, Loss:0.0338, Time_for_epoch: 21.6307
Gen 0 Tree 2: Epoch [52/100], lr:0.0016, Loss:0.0405, Time_for_epoch: 22.1233
Gen 0 Tree 2: Epoch [53/100], lr:0.0016, Loss:0.0383, Time_for_epoch: 22.1106
Gen 0 Tree 2: Epoch [54/100], lr:0.0016, Loss:0.0336, Time_for_epoch: 22.1214
Gen 0 Tree 2: Epoch [55/100], lr:0.0016, Loss:0.0339, Time_for_epoch: 22.1389
Gen 0 Tree 2: Epoch [56/100], lr:0.0016, Loss:0.0350, Time_for_epoch: 22.1349
Gen 0 Tree 2: Epoch [57/100], lr:0.0016, Loss:0.0336, Time_for_epoch: 22.0893
Gen 0 Tree 2: Epoch [58/100], lr:0.0016, Loss:0.0312, Time_for_epoch: 22.1260
Gen 0 Tree 2: Epoch [59/100], lr:0.0016, Loss:0.0381, Time_for_epoch: 22.0410
Gen 0 Tree 2: Epoch [60/100], lr:0.0016, Loss:0.0353, Time_for_epoch: 21.9779
Gen 0 Tree 2: Epoch [61/100], lr:0.0016, Loss:0.0235, Time_for_epoch: 21.9108
Gen 0 Tree 2: Epoch [62/100], lr:0.0016, Loss:0.0297, Time_for_epoch: 22.0442
Gen 0 Tree 2: Epoch [63/100], lr:0.0016, Loss:0.0367, Time_for_epoch: 21.9590
Gen 0 Tree 2: Epoch [64/100], lr:0.0016, Loss:0.0323, Time_for_epoch: 21.9502
Gen 0 Tree 2: Epoch [65/100], lr:0.0016, Loss:0.0230, Time_for_epoch: 22.0752
Gen 0 Tree 2: Epoch [66/100], lr:0.0016, Loss:0.0232, Time_for_epoch: 21.9830
Gen 0 Tree 2: Epoch [67/100], lr:0.0016, Loss:0.0404, Time_for_epoch: 22.0099
Gen 0 Tree 2: Epoch [68/100], lr:0.0016, Loss:0.0284, Time_for_epoch: 22.0398
Gen 0 Tree 2: Epoch [69/100], lr:0.0016, Loss:0.0175, Time_for_epoch: 22.0334
Gen 0 Tree 2: Epoch [70/100], lr:0.0016, Loss:0.0329, Time_for_epoch: 22.0002
Gen 0 Tree 2: Epoch [71/100], lr:0.0016, Loss:0.0306, Time_for_epoch: 22.0626
