start Python
Time_data_preparation: 1.1184
General 0
exp(exp(0.435222))
((0.148270-0.646770)-(x00)**(0.188513))
(sin(-0.187363)/((-1.193145)/3.141593))
Gen 0 Tree 2: Epoch [4/100], lr:0.0005, Loss:0.6795, Time_for_epoch: 34.5737
Gen 0 Tree 2: Epoch [5/100], lr:0.0005, Loss:0.5579, Time_for_epoch: 34.5744
Gen 0 Tree 2: Epoch [6/100], lr:0.0005, Loss:0.4581, Time_for_epoch: 34.5552
Gen 0 Tree 2: Epoch [7/100], lr:0.0005, Loss:0.3731, Time_for_epoch: 34.5665
Gen 0 Tree 2: Epoch [8/100], lr:0.0005, Loss:0.3085, Time_for_epoch: 34.5523
Gen 0 Tree 2: Epoch [9/100], lr:0.0005, Loss:0.2490, Time_for_epoch: 34.5530
Gen 0 Tree 2: Epoch [10/100], lr:0.0005, Loss:0.2095, Time_for_epoch: 34.5508
Gen 0 Tree 2: Epoch [11/100], lr:0.0005, Loss:0.1844, Time_for_epoch: 34.5419
Gen 0 Tree 2: Epoch [12/100], lr:0.0005, Loss:0.1541, Time_for_epoch: 34.5316
Gen 0 Tree 2: Epoch [13/100], lr:0.0005, Loss:0.1378, Time_for_epoch: 34.5286
Gen 0 Tree 2: Epoch [14/100], lr:0.0005, Loss:0.1174, Time_for_epoch: 34.5324
Gen 0 Tree 2: Epoch [15/100], lr:0.0005, Loss:0.1196, Time_for_epoch: 34.5247
Gen 0 Tree 2: Epoch [16/100], lr:0.0005, Loss:0.1035, Time_for_epoch: 34.5078
Gen 0 Tree 2: Epoch [17/100], lr:0.0005, Loss:0.1015, Time_for_epoch: 34.5084
Gen 0 Tree 2: Epoch [18/100], lr:0.0005, Loss:0.0967, Time_for_epoch: 34.4865
Gen 0 Tree 2: Epoch [19/100], lr:0.0005, Loss:0.0885, Time_for_epoch: 34.4922
Gen 0 Tree 2: Epoch [20/100], lr:0.0005, Loss:0.0891, Time_for_epoch: 34.4161
Gen 0 Tree 2: Epoch [21/100], lr:0.0005, Loss:0.0817, Time_for_epoch: 34.3994
Gen 0 Tree 2: Epoch [22/100], lr:0.0005, Loss:0.0776, Time_for_epoch: 34.4162
Gen 0 Tree 2: Epoch [23/100], lr:0.0005, Loss:0.0690, Time_for_epoch: 34.4252
Gen 0 Tree 2: Epoch [24/100], lr:0.0005, Loss:0.0797, Time_for_epoch: 34.4629
Gen 0 Tree 2: Epoch [25/100], lr:0.0005, Loss:0.0784, Time_for_epoch: 34.4530
Gen 0 Tree 2: Epoch [26/100], lr:0.0005, Loss:0.0669, Time_for_epoch: 34.4309
Gen 0 Tree 2: Epoch [27/100], lr:0.0005, Loss:0.0568, Time_for_epoch: 34.4482
Gen 0 Tree 2: Epoch [28/100], lr:0.0005, Loss:0.0665, Time_for_epoch: 34.4453
Gen 0 Tree 2: Epoch [29/100], lr:0.0005, Loss:0.0635, Time_for_epoch: 34.4260
Gen 0 Tree 2: Epoch [30/100], lr:0.0005, Loss:0.0542, Time_for_epoch: 34.4116
Gen 0 Tree 2: Epoch [31/100], lr:0.0005, Loss:0.0531, Time_for_epoch: 34.4200
Gen 0 Tree 2: Epoch [32/100], lr:0.0005, Loss:0.0646, Time_for_epoch: 34.4316
Gen 0 Tree 2: Epoch [33/100], lr:0.0005, Loss:0.0559, Time_for_epoch: 34.4419
Gen 0 Tree 2: Epoch [34/100], lr:0.0005, Loss:0.0536, Time_for_epoch: 34.4339
Gen 0 Tree 2: Epoch [35/100], lr:0.0005, Loss:0.0497, Time_for_epoch: 34.4555
Gen 0 Tree 2: Epoch [36/100], lr:0.0005, Loss:0.0535, Time_for_epoch: 34.4417
Gen 0 Tree 2: Epoch [37/100], lr:0.0005, Loss:0.0471, Time_for_epoch: 34.4710
Gen 0 Tree 2: Epoch [38/100], lr:0.0005, Loss:0.0560, Time_for_epoch: 34.4918
Gen 0 Tree 2: Epoch [39/100], lr:0.0005, Loss:0.0467, Time_for_epoch: 34.5816
Gen 0 Tree 2: Epoch [40/100], lr:0.0005, Loss:0.0403, Time_for_epoch: 34.5901
