start Python
Time_data_preparation: 1.1905
Testing scheduler 0: StepLRMethod 0: Epoch [1/100], lr:0.0100, Loss:1.6946, Time_for_epoch: 26.6739
Method 1: Epoch [15/100], lr:0.0010, Loss:0.1001, Time_for_epoch: 37.1992
Method 1: Epoch [16/100], lr:0.0010, Loss:0.0779, Time_for_epoch: 37.2345
Method 1: Epoch [17/100], lr:0.0010, Loss:0.0604, Time_for_epoch: 38.1376
Method 1: Epoch [18/100], lr:0.0010, Loss:0.0431, Time_for_epoch: 38.0576
Method 1: Epoch [19/100], lr:0.0010, Loss:0.0366, Time_for_epoch: 38.4644
Method 1: Epoch [20/100], lr:0.0010, Loss:0.0314, Time_for_epoch: 37.9664
Method 1: Epoch [21/100], lr:0.0010, Loss:0.0296, Time_for_epoch: 36.7547
Method 1: Epoch [22/100], lr:0.0010, Loss:0.0263, Time_for_epoch: 45.8583
Method 1: Epoch [23/100], lr:0.0010, Loss:0.0252, Time_for_epoch: 47.6634
Method 1: Epoch [24/100], lr:0.0010, Loss:0.0220, Time_for_epoch: 47.4892
Method 1: Epoch [25/100], lr:0.0010, Loss:0.0198, Time_for_epoch: 40.4934
Method 1: Epoch [26/100], lr:0.0010, Loss:0.0213, Time_for_epoch: 36.9991
Method 1: Epoch [27/100], lr:0.0010, Loss:0.0173, Time_for_epoch: 36.9805
Method 1: Epoch [28/100], lr:0.0010, Loss:0.0177, Time_for_epoch: 36.9626
Method 1: Epoch [29/100], lr:0.0010, Loss:0.0179, Time_for_epoch: 37.4868
Method 1: Epoch [30/100], lr:0.0010, Loss:0.0156, Time_for_epoch: 37.7170
Method 1: Epoch [31/100], lr:0.0001, Loss:0.0089, Time_for_epoch: 38.2387
Method 1: Epoch [32/100], lr:0.0001, Loss:0.0052, Time_for_epoch: 37.3750
Method 1: Epoch [33/100], lr:0.0001, Loss:0.0038, Time_for_epoch: 37.1646
Method 1: Epoch [34/100], lr:0.0001, Loss:0.0036, Time_for_epoch: 37.1320
Method 1: Epoch [35/100], lr:0.0001, Loss:0.0027, Time_for_epoch: 37.4313
Method 1: Epoch [36/100], lr:0.0001, Loss:0.0023, Time_for_epoch: 37.1387
Method 1: Epoch [37/100], lr:0.0001, Loss:0.0021, Time_for_epoch: 37.2953
Method 1: Epoch [38/100], lr:0.0001, Loss:0.0023, Time_for_epoch: 37.9919
Method 1: Epoch [39/100], lr:0.0001, Loss:0.0021, Time_for_epoch: 37.1960
Method 1: Epoch [40/100], lr:0.0001, Loss:0.0020, Time_for_epoch: 37.3153
Method 1: Epoch [41/100], lr:0.0001, Loss:0.0017, Time_for_epoch: 37.3604
Method 1: Epoch [42/100], lr:0.0001, Loss:0.0015, Time_for_epoch: 37.1234
Method 1: Epoch [43/100], lr:0.0001, Loss:0.0017, Time_for_epoch: 37.3100
Method 1: Epoch [44/100], lr:0.0001, Loss:0.0011, Time_for_epoch: 37.2616
