start Python
Time_data_preparation: 1.1926
General 0
(-(0.637926/(-1.428999)))
((1.271180*0.252407)+(x01/x00))
cos(x01/x01)
(-1/(0.372426))
sin(x00*(-1.426609))
(log(x01, 1.208820)-(0.620407)**(x00))
1/(0.840938*x01)
(log(0.520062)*cos(0.806777))
1/((-0.022412)+x01)
exp(x01*(-0.377991))
((0.135302-x01))**(((-0.472126)*x00))
(-(-x00))
1/(exp(-0.176681))
Gen 0 Tree 1: Epoch [79/100], lr:0.0003, Loss:0.0256, Time_for_epoch: 22.9025
Gen 0 Tree 1: Epoch [80/100], lr:0.0003, Loss:0.0253, Time_for_epoch: 22.8691
Gen 0 Tree 1: Epoch [81/100], lr:0.0003, Loss:0.0251, Time_for_epoch: 22.8790
Gen 0 Tree 1: Epoch [82/100], lr:0.0003, Loss:0.0220, Time_for_epoch: 22.8827
Gen 0 Tree 1: Epoch [83/100], lr:0.0003, Loss:0.0269, Time_for_epoch: 22.8862
Gen 0 Tree 1: Epoch [84/100], lr:0.0003, Loss:0.0261, Time_for_epoch: 22.8573
Gen 0 Tree 1: Epoch [85/100], lr:0.0003, Loss:0.0216, Time_for_epoch: 22.8985
Gen 0 Tree 1: Epoch [86/100], lr:0.0003, Loss:0.0174, Time_for_epoch: 22.9040
Gen 0 Tree 1: Epoch [87/100], lr:0.0003, Loss:0.0222, Time_for_epoch: 22.9105
Gen 0 Tree 1: Epoch [88/100], lr:0.0003, Loss:0.0236, Time_for_epoch: 22.8788
Gen 0 Tree 1: Epoch [89/100], lr:0.0003, Loss:0.0197, Time_for_epoch: 22.9231
Gen 0 Tree 1: Epoch [90/100], lr:0.0003, Loss:0.0243, Time_for_epoch: 22.8702
Gen 0 Tree 1: Epoch [91/100], lr:0.0003, Loss:0.0292, Time_for_epoch: 22.9064
Gen 0 Tree 1: Epoch [92/100], lr:0.0003, Loss:0.0216, Time_for_epoch: 22.9019
Gen 0 Tree 1: Epoch [93/100], lr:0.0003, Loss:0.0195, Time_for_epoch: 22.8819
Gen 0 Tree 1: Epoch [94/100], lr:0.0003, Loss:0.0186, Time_for_epoch: 22.8956
Gen 0 Tree 1: Epoch [95/100], lr:0.0003, Loss:0.0220, Time_for_epoch: 22.9370
Gen 0 Tree 1: Epoch [96/100], lr:0.0003, Loss:0.0189, Time_for_epoch: 22.9144
Gen 0 Tree 1: Epoch [97/100], lr:0.0003, Loss:0.0171, Time_for_epoch: 23.0469
Gen 0 Tree 1: Epoch [98/100], lr:0.0003, Loss:0.0190, Time_for_epoch: 23.1718
Gen 0 Tree 1: Epoch [99/100], lr:0.0003, Loss:0.0277, Time_for_epoch: 23.1375
Gen 0 Tree 1: Epoch [100/100], lr:0.0003, Loss:0.0200, Time_for_epoch: 23.1330
Tree 1: TestLoss: 1.4142, TestAccuracy: 0.7836, Time_for_individ: 2301.3203
Tree 2 is not valid
Gen 0 Tree 3: Epoch [1/100], lr:-0.0027, Loss:2230.4874, Time_for_epoch: 23.0771
Gen 0 Tree 3: Epoch [2/100], lr:-0.0027, Loss:15478.8972, Time_for_epoch: 23.1471
Tree 3 is not valid
Gen 0 Tree 4: Epoch [1/100], lr:-0.0010, Loss:424.2661, Time_for_epoch: 23.0906
Gen 0 Tree 4: Epoch [2/100], lr:-0.0003, Loss:1394.3926, Time_for_epoch: 23.1528
Gen 0 Tree 4: Epoch [3/100], lr:0.0009, Loss:216.4171, Time_for_epoch: 23.1688
Gen 0 Tree 4: Epoch [4/100], lr:0.0005, Loss:9.9889, Time_for_epoch: 23.1594
Gen 0 Tree 4: Epoch [5/100], lr:-0.0008, Loss:2003.9599, Time_for_epoch: 23.1776
