start Python
Time_data_preparation: 1.1075
Testing scheduler 0: StepLR
Method 1: Epoch [5/100], lr:0.0010, Loss:0.4949, Time_for_epoch: 21.5584
Method 1: Epoch [6/100], lr:0.0010, Loss:0.4189, Time_for_epoch: 21.5547
Method 1: Epoch [7/100], lr:0.0010, Loss:0.3594, Time_for_epoch: 21.5747
Method 1: Epoch [8/100], lr:0.0010, Loss:0.3075, Time_for_epoch: 21.5843
Method 1: Epoch [9/100], lr:0.0010, Loss:0.2585, Time_for_epoch: 21.5588
Method 1: Epoch [10/100], lr:0.0010, Loss:0.2259, Time_for_epoch: 21.6473
Method 1: Epoch [11/100], lr:0.0005, Loss:0.0892, Time_for_epoch: 21.6058
Method 1: Epoch [12/100], lr:0.0005, Loss:0.0310, Time_for_epoch: 21.6066
Method 1: Epoch [13/100], lr:0.0005, Loss:0.0304, Time_for_epoch: 21.6495
Method 1: Epoch [14/100], lr:0.0005, Loss:0.0649, Time_for_epoch: 21.5472
Method 1: Epoch [15/100], lr:0.0005, Loss:0.0597, Time_for_epoch: 21.5735
Method 1: Epoch [16/100], lr:0.0005, Loss:0.0467, Time_for_epoch: 21.5853
Method 1: Epoch [17/100], lr:0.0005, Loss:0.0458, Time_for_epoch: 21.6936
Method 1: Epoch [18/100], lr:0.0005, Loss:0.0400, Time_for_epoch: 21.6440
Method 1: Epoch [19/100], lr:0.0005, Loss:0.0453, Time_for_epoch: 21.5943
Method 1: Epoch [20/100], lr:0.0005, Loss:0.0417, Time_for_epoch: 21.5851
Method 1: Epoch [21/100], lr:0.0005, Loss:0.0394, Time_for_epoch: 21.6081
Method 1: Epoch [22/100], lr:0.0005, Loss:0.0344, Time_for_epoch: 21.7024
Method 1: Epoch [23/100], lr:0.0005, Loss:0.0376, Time_for_epoch: 21.5881
Method 1: Epoch [24/100], lr:0.0005, Loss:0.0306, Time_for_epoch: 21.6055
Method 1: Epoch [25/100], lr:0.0005, Loss:0.0369, Time_for_epoch: 21.6084
Method 1: Epoch [26/100], lr:0.0005, Loss:0.0386, Time_for_epoch: 21.8701
Method 1: Epoch [27/100], lr:0.0005, Loss:0.0375, Time_for_epoch: 22.2428
Method 1: Epoch [28/100], lr:0.0005, Loss:0.0276, Time_for_epoch: 21.8387
Method 1: Epoch [29/100], lr:0.0005, Loss:0.0249, Time_for_epoch: 21.8546
Method 1: Epoch [30/100], lr:0.0005, Loss:0.0373, Time_for_epoch: 21.8223
Method 1: Epoch [31/100], lr:0.0003, Loss:0.0119, Time_for_epoch: 21.7961
Method 1: Epoch [32/100], lr:0.0003, Loss:0.0025, Time_for_epoch: 21.8826
Method 1: Epoch [33/100], lr:0.0003, Loss:0.0013, Time_for_epoch: 21.8039
Method 1: Epoch [34/100], lr:0.0003, Loss:0.0008, Time_for_epoch: 22.1378
Method 1: Epoch [35/100], lr:0.0003, Loss:0.0008, Time_for_epoch: 21.7361
Method 1: Epoch [36/100], lr:0.0003, Loss:0.0007, Time_for_epoch: 21.8518
Method 1: Epoch [37/100], lr:0.0003, Loss:0.0005, Time_for_epoch: 21.7856
Method 1: Epoch [38/100], lr:0.0003, Loss:0.0009, Time_for_epoch: 21.7830
Method 1: Epoch [39/100], lr:0.0003, Loss:0.0384, Time_for_epoch: 22.1199
Method 1: Epoch [40/100], lr:0.0003, Loss:0.0137, Time_for_epoch: 22.0376
Method 1: Epoch [41/100], lr:0.0003, Loss:0.0048, Time_for_epoch: 22.0900
Method 1: Epoch [42/100], lr:0.0003, Loss:0.0029, Time_for_epoch: 22.0315
Method 1: Epoch [43/100], lr:0.0003, Loss:0.0022, Time_for_epoch: 21.5980
Method 1: Epoch [44/100], lr:0.0003, Loss:0.0060, Time_for_epoch: 21.5971
Method 1: Epoch [45/100], lr:0.0003, Loss:0.0103, Time_for_epoch: 21.6255
Method 1: Epoch [46/100], lr:0.0003, Loss:0.0089, Time_for_epoch: 21.6309
Method 1: Epoch [47/100], lr:0.0003, Loss:0.0104, Time_for_epoch: 21.6371
Method 1: Epoch [48/100], lr:0.0003, Loss:0.0122, Time_for_epoch: 21.6684
Method 1: Epoch [49/100], lr:0.0003, Loss:0.0063, Time_for_epoch: 22.0575
Method 1: Epoch [50/100], lr:0.0003, Loss:0.0043, Time_for_epoch: 22.0054
Method 1: Epoch [51/100], lr:0.0001, Loss:0.0028, Time_for_epoch: 22.0448
Method 1: Epoch [52/100], lr:0.0001, Loss:0.0007, Time_for_epoch: 22.0702
Method 1: Epoch [53/100], lr:0.0001, Loss:0.0004, Time_for_epoch: 22.0769
Method 1: Epoch [54/100], lr:0.0001, Loss:0.0002, Time_for_epoch: 22.1496
Method 1: Epoch [55/100], lr:0.0001, Loss:0.0003, Time_for_epoch: 21.9919
Method 1: Epoch [56/100], lr:0.0001, Loss:0.0003, Time_for_epoch: 22.0770
Method 1: Epoch [57/100], lr:0.0001, Loss:0.0007, Time_for_epoch: 22.1445
Method 1: Epoch [58/100], lr:0.0001, Loss:0.0023, Time_for_epoch: 22.0832
Method 1: Epoch [59/100], lr:0.0001, Loss:0.0021, Time_for_epoch: 22.1072
Method 1: Epoch [60/100], lr:0.0001, Loss:0.0017, Time_for_epoch: 22.0621
Method 1: Epoch [61/100], lr:0.0001, Loss:0.0020, Time_for_epoch: 22.0319
Method 1: Epoch [62/100], lr:0.0001, Loss:0.0018, Time_for_epoch: 22.1558
Method 1: Epoch [63/100], lr:0.0001, Loss:0.0014, Time_for_epoch: 22.0747
Method 1: Epoch [64/100], lr:0.0001, Loss:0.0007, Time_for_epoch: 22.0944
Method 1: Epoch [65/100], lr:0.0001, Loss:0.0009, Time_for_epoch: 22.0393
Method 1: Epoch [66/100], lr:0.0001, Loss:0.0020, Time_for_epoch: 22.0411
Method 1: Epoch [67/100], lr:0.0001, Loss:0.0024, Time_for_epoch: 22.1109
Method 1: Epoch [68/100], lr:0.0001, Loss:0.0009, Time_for_epoch: 22.0153
Method 1: Epoch [69/100], lr:0.0001, Loss:0.0006, Time_for_epoch: 21.8308
Method 1: Epoch [70/100], lr:0.0001, Loss:0.0012, Time_for_epoch: 21.8417
Method 1: Epoch [71/100], lr:0.0001, Loss:0.0025, Time_for_epoch: 21.8296
Method 1: Epoch [72/100], lr:0.0001, Loss:0.0021, Time_for_epoch: 21.8282
Method 1: Epoch [73/100], lr:0.0001, Loss:0.0011, Time_for_epoch: 21.8870
Method 1: Epoch [74/100], lr:0.0001, Loss:0.0008, Time_for_epoch: 21.7397
Method 1: Epoch [75/100], lr:0.0001, Loss:0.0008, Time_for_epoch: 21.8230
Method 1: Epoch [76/100], lr:0.0001, Loss:0.0020, Time_for_epoch: 21.7732
Method 1: Epoch [77/100], lr:0.0001, Loss:0.0012, Time_for_epoch: 21.7844
Method 1: Epoch [78/100], lr:0.0001, Loss:0.0020, Time_for_epoch: 21.7825
Method 1: Epoch [79/100], lr:0.0001, Loss:0.0018, Time_for_epoch: 21.7905
Method 1: Epoch [80/100], lr:0.0001, Loss:0.0015, Time_for_epoch: 21.8309
Method 1: Epoch [81/100], lr:0.0001, Loss:0.0009, Time_for_epoch: 21.8090
Method 1: Epoch [82/100], lr:0.0001, Loss:0.0003, Time_for_epoch: 21.8202
Method 1: Epoch [83/100], lr:0.0001, Loss:0.0002, Time_for_epoch: 22.0714
Method 1: Epoch [84/100], lr:0.0001, Loss:0.0001, Time_for_epoch: 22.0647
Method 1: Epoch [85/100], lr:0.0001, Loss:0.0001, Time_for_epoch: 21.6906
Method 1: Epoch [86/100], lr:0.0001, Loss:0.0001, Time_for_epoch: 22.1165
Method 1: Epoch [87/100], lr:0.0001, Loss:0.0003, Time_for_epoch: 22.1193
Method 1: Epoch [88/100], lr:0.0001, Loss:0.0001, Time_for_epoch: 22.0942
Method 1: Epoch [89/100], lr:0.0001, Loss:0.0003, Time_for_epoch: 22.1468
Method 1: Epoch [90/100], lr:0.0001, Loss:0.0004, Time_for_epoch: 22.1376
Method 1: Epoch [91/100], lr:0.0001, Loss:0.0003, Time_for_epoch: 22.1139
Method 1: Epoch [92/100], lr:0.0001, Loss:0.0003, Time_for_epoch: 21.6902
Method 1: Epoch [93/100], lr:0.0001, Loss:0.0001, Time_for_epoch: 22.1261
Method 1: Epoch [94/100], lr:0.0001, Loss:0.0001, Time_for_epoch: 22.1074
Method 1: Epoch [95/100], lr:0.0001, Loss:0.0003, Time_for_epoch: 22.0833
Method 1: Epoch [96/100], lr:0.0001, Loss:0.0004, Time_for_epoch: 22.0899
Method 1: Epoch [97/100], lr:0.0001, Loss:0.0003, Time_for_epoch: 21.9448
Method 1: Epoch [98/100], lr:0.0001, Loss:0.0004, Time_for_epoch: 21.9803
Method 1: Epoch [99/100], lr:0.0001, Loss:0.0005, Time_for_epoch: 21.9737
Method 1: Epoch [100/100], lr:0.0001, Loss:0.0003, Time_for_epoch: 22.0815
Method 1: TestLoss: 1.4495, TestAccuracy: 0.8315, Time_for_individ: 2187.9312
Testing scheduler 2: ExponentialLR
Method 2: Epoch [1/100], lr:0.0010, Loss:1.4052, Time_for_epoch: 21.8842
Method 2: Epoch [2/100], lr:0.0009, Loss:0.9414, Time_for_epoch: 21.9391
Method 2: Epoch [3/100], lr:0.0009, Loss:0.7190, Time_for_epoch: 21.8840
Method 2: Epoch [4/100], lr:0.0009, Loss:0.5799, Time_for_epoch: 21.9054
Method 2: Epoch [5/100], lr:0.0008, Loss:0.4762, Time_for_epoch: 21.9504
Method 2: Epoch [6/100], lr:0.0008, Loss:0.3848, Time_for_epoch: 21.9089
Method 2: Epoch [7/100], lr:0.0007, Loss:0.3147, Time_for_epoch: 21.9416
Method 2: Epoch [8/100], lr:0.0007, Loss:0.2456, Time_for_epoch: 21.9788
Method 2: Epoch [9/100], lr:0.0007, Loss:0.1929, Time_for_epoch: 22.0861
Method 2: Epoch [10/100], lr:0.0006, Loss:0.1477, Time_for_epoch: 21.9871
Method 2: Epoch [11/100], lr:0.0006, Loss:0.1165, Time_for_epoch: 21.9871
Method 2: Epoch [12/100], lr:0.0006, Loss:0.0869, Time_for_epoch: 21.9719
Method 2: Epoch [13/100], lr:0.0005, Loss:0.0776, Time_for_epoch: 21.9465
Method 2: Epoch [14/100], lr:0.0005, Loss:0.0654, Time_for_epoch: 22.0059
Method 2: Epoch [15/100], lr:0.0005, Loss:0.0535, Time_for_epoch: 21.9512
Method 2: Epoch [16/100], lr:0.0005, Loss:0.0428, Time_for_epoch: 21.9897
Method 2: Epoch [17/100], lr:0.0004, Loss:0.0360, Time_for_epoch: 21.9732
Method 2: Epoch [18/100], lr:0.0004, Loss:0.0370, Time_for_epoch: 21.9609
Method 2: Epoch [19/100], lr:0.0004, Loss:0.0341, Time_for_epoch: 22.0063
Method 2: Epoch [20/100], lr:0.0004, Loss:0.0244, Time_for_epoch: 21.9428
Method 2: Epoch [21/100], lr:0.0004, Loss:0.0192, Time_for_epoch: 21.9424
Method 2: Epoch [22/100], lr:0.0003, Loss:0.0198, Time_for_epoch: 21.8685
Method 2: Epoch [23/100], lr:0.0003, Loss:0.0233, Time_for_epoch: 21.9179
Method 2: Epoch [24/100], lr:0.0003, Loss:0.0191, Time_for_epoch: 21.9178
Method 2: Epoch [25/100], lr:0.0003, Loss:0.0150, Time_for_epoch: 21.9430
Method 2: Epoch [26/100], lr:0.0003, Loss:0.0142, Time_for_epoch: 21.9017
Method 2: Epoch [27/100], lr:0.0003, Loss:0.0092, Time_for_epoch: 21.9353
Method 2: Epoch [28/100], lr:0.0003, Loss:0.0106, Time_for_epoch: 21.8918
Method 2: Epoch [29/100], lr:0.0002, Loss:0.0092, Time_for_epoch: 21.9289
Method 2: Epoch [30/100], lr:0.0002, Loss:0.0062, Time_for_epoch: 21.9373
Method 2: Epoch [31/100], lr:0.0002, Loss:0.0056, Time_for_epoch: 21.9451
Method 2: Epoch [32/100], lr:0.0002, Loss:0.0052, Time_for_epoch: 21.9267
Method 2: Epoch [33/100], lr:0.0002, Loss:0.0047, Time_for_epoch: 21.9572
Method 2: Epoch [34/100], lr:0.0002, Loss:0.0077, Time_for_epoch: 21.9216
Method 2: Epoch [35/100], lr:0.0002, Loss:0.0072, Time_for_epoch: 21.9789
Method 2: Epoch [36/100], lr:0.0002, Loss:0.0047, Time_for_epoch: 21.9185
Method 2: Epoch [37/100], lr:0.0002, Loss:0.0022, Time_for_epoch: 21.9301
Method 2: Epoch [38/100], lr:0.0001, Loss:0.0022, Time_for_epoch: 21.9811
Method 2: Epoch [39/100], lr:0.0001, Loss:0.0028, Time_for_epoch: 22.0756
Method 2: Epoch [40/100], lr:0.0001, Loss:0.0027, Time_for_epoch: 21.9651
Method 2: Epoch [41/100], lr:0.0001, Loss:0.0030, Time_for_epoch: 21.9687
