start Python
Time_data_preparation: 1.2040
General 0
(sin(3.141593)*cos(0.433665))
sin(exp(0.143431))
((x00/x01)/((-0.131818)/(-0.406578)))
(sin(x01)*1/(-0.128106))
cos(cos(0.249268))
log((x00/2.075837), (0.685211)**(x01))
1/(x01+0.557923)
1/(1/(-0.576128))
((-(-0.443794))-log(x00))
exp(x01-1.816487)
(-exp(x00))
sin((-0.285104)-1.012083)
Gen 0 Tree 0: Epoch [90/100], lr:-0.0000, Loss:2.3487, Time_for_epoch: 23.0981
Gen 0 Tree 0: Epoch [91/100], lr:-0.0000, Loss:2.3493, Time_for_epoch: 23.0837
Gen 0 Tree 0: Epoch [92/100], lr:-0.0000, Loss:2.3486, Time_for_epoch: 23.1023
Gen 0 Tree 0: Epoch [93/100], lr:-0.0000, Loss:2.3483, Time_for_epoch: 23.0703
Gen 0 Tree 0: Epoch [94/100], lr:-0.0000, Loss:2.3487, Time_for_epoch: 23.0838
Gen 0 Tree 0: Epoch [95/100], lr:-0.0000, Loss:2.3487, Time_for_epoch: 23.0843
Gen 0 Tree 0: Epoch [96/100], lr:-0.0000, Loss:2.3489, Time_for_epoch: 23.0616
Gen 0 Tree 0: Epoch [97/100], lr:-0.0000, Loss:2.3487, Time_for_epoch: 23.0474
Gen 0 Tree 0: Epoch [98/100], lr:-0.0000, Loss:2.3490, Time_for_epoch: 23.1057
Gen 0 Tree 0: Epoch [99/100], lr:-0.0000, Loss:2.3488, Time_for_epoch: 23.0884
Gen 0 Tree 0: Epoch [100/100], lr:-0.0000, Loss:2.3493, Time_for_epoch: 23.1005
Tree 0: TestLoss: 2.3497, TestAccuracy: 0.1001, Time_for_individ: 2296.9814
Gen 0 Tree 1: Epoch [1/100], lr:0.0009, Loss:1.4150, Time_for_epoch: 23.1128
Gen 0 Tree 1: Epoch [2/100], lr:0.0009, Loss:0.9692, Time_for_epoch: 23.0704
Gen 0 Tree 1: Epoch [3/100], lr:0.0009, Loss:0.7515, Time_for_epoch: 23.0934
Gen 0 Tree 1: Epoch [4/100], lr:0.0009, Loss:0.6113, Time_for_epoch: 23.0401
Gen 0 Tree 1: Epoch [5/100], lr:0.0009, Loss:0.5068, Time_for_epoch: 23.0822
Gen 0 Tree 1: Epoch [6/100], lr:0.0009, Loss:0.4216, Time_for_epoch: 23.0642
Gen 0 Tree 1: Epoch [7/100], lr:0.0009, Loss:0.3675, Time_for_epoch: 23.0568
Gen 0 Tree 1: Epoch [8/100], lr:0.0009, Loss:0.3061, Time_for_epoch: 23.0561
Gen 0 Tree 1: Epoch [9/100], lr:0.0009, Loss:0.2602, Time_for_epoch: 23.0845
Gen 0 Tree 1: Epoch [10/100], lr:0.0009, Loss:0.2277, Time_for_epoch: 23.0830
Gen 0 Tree 1: Epoch [11/100], lr:0.0009, Loss:0.1916, Time_for_epoch: 23.1125
Gen 0 Tree 1: Epoch [12/100], lr:0.0009, Loss:0.1623, Time_for_epoch: 23.0746
Gen 0 Tree 1: Epoch [13/100], lr:0.0009, Loss:0.1524, Time_for_epoch: 23.1022
Gen 0 Tree 1: Epoch [14/100], lr:0.0009, Loss:0.1335, Time_for_epoch: 23.1699
Gen 0 Tree 1: Epoch [15/100], lr:0.0009, Loss:0.1233, Time_for_epoch: 23.1099
Gen 0 Tree 1: Epoch [16/100], lr:0.0009, Loss:0.1137, Time_for_epoch: 23.0756
Gen 0 Tree 1: Epoch [17/100], lr:0.0009, Loss:0.1014, Time_for_epoch: 23.0475
Gen 0 Tree 1: Epoch [18/100], lr:0.0009, Loss:0.1007, Time_for_epoch: 23.0863
Gen 0 Tree 1: Epoch [19/100], lr:0.0009, Loss:0.0889, Time_for_epoch: 23.0642
Gen 0 Tree 1: Epoch [20/100], lr:0.0009, Loss:0.0844, Time_for_epoch: 23.0805
Gen 0 Tree 1: Epoch [21/100], lr:0.0009, Loss:0.0844, Time_for_epoch: 23.0645
Gen 0 Tree 1: Epoch [22/100], lr:0.0009, Loss:0.0839, Time_for_epoch: 23.1069
Gen 0 Tree 1: Epoch [23/100], lr:0.0009, Loss:0.0771, Time_for_epoch: 23.0290
Gen 0 Tree 1: Epoch [24/100], lr:0.0009, Loss:0.0728, Time_for_epoch: 23.0976
Gen 0 Tree 1: Epoch [25/100], lr:0.0009, Loss:0.0664, Time_for_epoch: 23.0654
Gen 0 Tree 1: Epoch [26/100], lr:0.0009, Loss:0.0678, Time_for_epoch: 23.0584
Gen 0 Tree 1: Epoch [27/100], lr:0.0009, Loss:0.0683, Time_for_epoch: 23.0820
Gen 0 Tree 1: Epoch [28/100], lr:0.0009, Loss:0.0562, Time_for_epoch: 23.0863
Gen 0 Tree 1: Epoch [29/100], lr:0.0009, Loss:0.0632, Time_for_epoch: 23.0476
Gen 0 Tree 1: Epoch [30/100], lr:0.0009, Loss:0.0596, Time_for_epoch: 23.0574
Gen 0 Tree 1: Epoch [31/100], lr:0.0009, Loss:0.0557, Time_for_epoch: 23.0615
Gen 0 Tree 1: Epoch [32/100], lr:0.0009, Loss:0.0567, Time_for_epoch: 23.0649
Gen 0 Tree 1: Epoch [33/100], lr:0.0009, Loss:0.0594, Time_for_epoch: 23.0698
Gen 0 Tree 1: Epoch [34/100], lr:0.0009, Loss:0.0469, Time_for_epoch: 23.0427
Gen 0 Tree 1: Epoch [35/100], lr:0.0009, Loss:0.0448, Time_for_epoch: 23.0497
Gen 0 Tree 1: Epoch [36/100], lr:0.0009, Loss:0.0515, Time_for_epoch: 23.0391
Gen 0 Tree 1: Epoch [37/100], lr:0.0009, Loss:0.0528, Time_for_epoch: 23.0730
Gen 0 Tree 1: Epoch [38/100], lr:0.0009, Loss:0.0465, Time_for_epoch: 23.0572
Gen 0 Tree 1: Epoch [39/100], lr:0.0009, Loss:0.0411, Time_for_epoch: 23.0714
Gen 0 Tree 1: Epoch [40/100], lr:0.0009, Loss:0.0446, Time_for_epoch: 23.0308
Gen 0 Tree 1: Epoch [41/100], lr:0.0009, Loss:0.0457, Time_for_epoch: 23.0775
Gen 0 Tree 1: Epoch [42/100], lr:0.0009, Loss:0.0438, Time_for_epoch: 23.0492
Gen 0 Tree 1: Epoch [43/100], lr:0.0009, Loss:0.0389, Time_for_epoch: 23.0549
Gen 0 Tree 1: Epoch [44/100], lr:0.0009, Loss:0.0399, Time_for_epoch: 23.0565
Gen 0 Tree 1: Epoch [45/100], lr:0.0009, Loss:0.0423, Time_for_epoch: 23.0581
Gen 0 Tree 1: Epoch [46/100], lr:0.0009, Loss:0.0386, Time_for_epoch: 23.0750
Gen 0 Tree 1: Epoch [47/100], lr:0.0009, Loss:0.0361, Time_for_epoch: 23.0448
Gen 0 Tree 1: Epoch [48/100], lr:0.0009, Loss:0.0389, Time_for_epoch: 23.0399
Gen 0 Tree 1: Epoch [49/100], lr:0.0009, Loss:0.0360, Time_for_epoch: 23.0731
Gen 0 Tree 1: Epoch [50/100], lr:0.0009, Loss:0.0393, Time_for_epoch: 23.0355
Gen 0 Tree 1: Epoch [51/100], lr:0.0009, Loss:0.0357, Time_for_epoch: 23.0665
Gen 0 Tree 1: Epoch [52/100], lr:0.0009, Loss:0.0333, Time_for_epoch: 23.0595
Gen 0 Tree 1: Epoch [53/100], lr:0.0009, Loss:0.0387, Time_for_epoch: 23.0767
Gen 0 Tree 1: Epoch [54/100], lr:0.0009, Loss:0.0228, Time_for_epoch: 22.8664
Gen 0 Tree 1: Epoch [55/100], lr:0.0009, Loss:0.0318, Time_for_epoch: 22.8205
