start Python
Time_data_preparation: 1.1188
General 0
log((0.803732)**(1.343144))
exp(x00)**(0.268522)
Gen 1 Tree 0: Epoch [48/100], lr:0.0001, Loss:0.0427, Time_for_epoch: 34.7953
Gen 1 Tree 0: Epoch [49/100], lr:0.0001, Loss:0.0498, Time_for_epoch: 34.7790
Gen 1 Tree 0: Epoch [50/100], lr:0.0001, Loss:0.0475, Time_for_epoch: 34.8002
Gen 1 Tree 0: Epoch [51/100], lr:0.0001, Loss:0.0451, Time_for_epoch: 34.8425
Gen 1 Tree 0: Epoch [52/100], lr:0.0001, Loss:0.0442, Time_for_epoch: 34.8377
Gen 1 Tree 0: Epoch [53/100], lr:0.0001, Loss:0.0420, Time_for_epoch: 34.8354
Gen 1 Tree 0: Epoch [54/100], lr:0.0001, Loss:0.0428, Time_for_epoch: 34.8437
Gen 1 Tree 0: Epoch [55/100], lr:0.0001, Loss:0.0412, Time_for_epoch: 34.8656
Gen 1 Tree 0: Epoch [56/100], lr:0.0001, Loss:0.0334, Time_for_epoch: 34.8567
Gen 1 Tree 0: Epoch [57/100], lr:0.0001, Loss:0.0365, Time_for_epoch: 34.8394
Gen 1 Tree 0: Epoch [58/100], lr:0.0001, Loss:0.0449, Time_for_epoch: 34.8395
Gen 1 Tree 0: Epoch [59/100], lr:0.0001, Loss:0.0393, Time_for_epoch: 34.8352
Gen 1 Tree 0: Epoch [60/100], lr:0.0001, Loss:0.0357, Time_for_epoch: 34.8360
Gen 1 Tree 0: Epoch [61/100], lr:0.0001, Loss:0.0383, Time_for_epoch: 34.8402
Gen 1 Tree 0: Epoch [62/100], lr:0.0001, Loss:0.0374, Time_for_epoch: 34.8147
Gen 1 Tree 0: Epoch [63/100], lr:0.0001, Loss:0.0340, Time_for_epoch: 34.8170
Gen 1 Tree 0: Epoch [64/100], lr:0.0001, Loss:0.0350, Time_for_epoch: 34.8207
Gen 1 Tree 0: Epoch [65/100], lr:0.0001, Loss:0.0346, Time_for_epoch: 34.8092
Gen 1 Tree 0: Epoch [66/100], lr:0.0001, Loss:0.0402, Time_for_epoch: 34.8108
Gen 1 Tree 0: Epoch [67/100], lr:0.0001, Loss:0.0320, Time_for_epoch: 34.7966
Gen 1 Tree 0: Epoch [68/100], lr:0.0001, Loss:0.0288, Time_for_epoch: 34.7891
Gen 1 Tree 0: Epoch [69/100], lr:0.0001, Loss:0.0297, Time_for_epoch: 34.8098
Gen 1 Tree 0: Epoch [70/100], lr:0.0001, Loss:0.0369, Time_for_epoch: 34.7975
Gen 1 Tree 0: Epoch [71/100], lr:0.0001, Loss:0.0333, Time_for_epoch: 34.7978
Gen 1 Tree 0: Epoch [72/100], lr:0.0001, Loss:0.0342, Time_for_epoch: 34.8605
Gen 1 Tree 0: Epoch [73/100], lr:0.0001, Loss:0.0338, Time_for_epoch: 34.8537
Gen 1 Tree 0: Epoch [74/100], lr:0.0001, Loss:0.0339, Time_for_epoch: 34.8444
Gen 1 Tree 0: Epoch [75/100], lr:0.0001, Loss:0.0246, Time_for_epoch: 34.8362
Gen 1 Tree 0: Epoch [76/100], lr:0.0001, Loss:0.0250, Time_for_epoch: 34.8059
Gen 1 Tree 0: Epoch [77/100], lr:0.0001, Loss:0.0239, Time_for_epoch: 34.7989
Gen 1 Tree 0: Epoch [78/100], lr:0.0001, Loss:0.0363, Time_for_epoch: 34.7825
Gen 1 Tree 0: Epoch [79/100], lr:0.0001, Loss:0.0355, Time_for_epoch: 34.7756
Gen 1 Tree 0: Epoch [80/100], lr:0.0001, Loss:0.0282, Time_for_epoch: 34.7836
Gen 1 Tree 0: Epoch [81/100], lr:0.0001, Loss:0.0213, Time_for_epoch: 34.8170
Gen 1 Tree 0: Epoch [82/100], lr:0.0001, Loss:0.0265, Time_for_epoch: 35.3050
Gen 1 Tree 0: Epoch [83/100], lr:0.0001, Loss:0.0291, Time_for_epoch: 35.0010
Gen 1 Tree 0: Epoch [84/100], lr:0.0001, Loss:0.0311, Time_for_epoch: 34.9471
Gen 1 Tree 0: Epoch [85/100], lr:0.0001, Loss:0.0273, Time_for_epoch: 34.9738
Gen 1 Tree 0: Epoch [86/100], lr:0.0001, Loss:0.0241, Time_for_epoch: 34.9452
Gen 1 Tree 0: Epoch [87/100], lr:0.0001, Loss:0.0223, Time_for_epoch: 35.2485
Gen 1 Tree 0: Epoch [88/100], lr:0.0001, Loss:0.0243, Time_for_epoch: 36.0621
Gen 1 Tree 0: Epoch [89/100], lr:0.0001, Loss:0.0353, Time_for_epoch: 36.0516
Gen 1 Tree 0: Epoch [90/100], lr:0.0001, Loss:0.0266, Time_for_epoch: 35.8879
Gen 1 Tree 0: Epoch [91/100], lr:0.0001, Loss:0.0229, Time_for_epoch: 34.9120
Gen 1 Tree 0: Epoch [92/100], lr:0.0001, Loss:0.0214, Time_for_epoch: 34.8758
Gen 1 Tree 0: Epoch [93/100], lr:0.0001, Loss:0.0289, Time_for_epoch: 34.8650
Gen 1 Tree 0: Epoch [94/100], lr:0.0001, Loss:0.0246, Time_for_epoch: 34.8404
Gen 1 Tree 0: Epoch [95/100], lr:0.0001, Loss:0.0276, Time_for_epoch: 34.8390
Gen 1 Tree 0: Epoch [96/100], lr:0.0001, Loss:0.0254, Time_for_epoch: 34.8473
Gen 1 Tree 0: Epoch [97/100], lr:0.0001, Loss:0.0195, Time_for_epoch: 34.8339
Gen 1 Tree 0: Epoch [98/100], lr:0.0001, Loss:0.0213, Time_for_epoch: 34.8327
Gen 1 Tree 0: Epoch [99/100], lr:0.0001, Loss:0.0238, Time_for_epoch: 34.8404
Gen 1 Tree 0: Epoch [100/100], lr:0.0001, Loss:0.0274, Time_for_epoch: 34.8189
Tree 0: TestLoss: 1.8359, TestAccuracy: 0.7257, Time_for_individ: 3485.1785
Gen 1 Tree 1: Epoch [1/100], lr:0.0052, Loss:1.4979, Time_for_epoch: 34.8606
Gen 1 Tree 1: Epoch [2/100], lr:0.0052, Loss:0.9513, Time_for_epoch: 34.8475
Gen 1 Tree 1: Epoch [3/100], lr:0.0052, Loss:0.7594, Time_for_epoch: 34.8449
Gen 1 Tree 1: Epoch [4/100], lr:0.0052, Loss:0.6384, Time_for_epoch: 34.8580
Gen 1 Tree 1: Epoch [5/100], lr:0.0052, Loss:0.5610, Time_for_epoch: 34.8401
Gen 1 Tree 1: Epoch [6/100], lr:0.0052, Loss:0.4962, Time_for_epoch: 34.8393
Gen 1 Tree 1: Epoch [7/100], lr:0.0052, Loss:0.4432, Time_for_epoch: 34.8481
Gen 1 Tree 1: Epoch [8/100], lr:0.0052, Loss:0.4016, Time_for_epoch: 34.9404
Gen 1 Tree 1: Epoch [9/100], lr:0.0052, Loss:0.3682, Time_for_epoch: 36.0269
Gen 1 Tree 1: Epoch [10/100], lr:0.0052, Loss:0.3337, Time_for_epoch: 36.1338
Gen 1 Tree 1: Epoch [11/100], lr:0.0052, Loss:0.3037, Time_for_epoch: 35.3389
Gen 1 Tree 1: Epoch [12/100], lr:0.0052, Loss:0.2760, Time_for_epoch: 34.9303
Gen 1 Tree 1: Epoch [13/100], lr:0.0052, Loss:0.2589, Time_for_epoch: 34.8844
Gen 1 Tree 1: Epoch [14/100], lr:0.0052, Loss:0.2339, Time_for_epoch: 34.8954
Gen 1 Tree 1: Epoch [15/100], lr:0.0052, Loss:0.2159, Time_for_epoch: 34.8719
Gen 1 Tree 1: Epoch [16/100], lr:0.0052, Loss:0.1956, Time_for_epoch: 34.8743
Gen 1 Tree 1: Epoch [17/100], lr:0.0052, Loss:0.1824, Time_for_epoch: 34.8424
Gen 1 Tree 1: Epoch [18/100], lr:0.0052, Loss:0.1683, Time_for_epoch: 34.8515
Gen 1 Tree 1: Epoch [19/100], lr:0.0052, Loss:0.1552, Time_for_epoch: 34.8585
Gen 1 Tree 1: Epoch [20/100], lr:0.0052, Loss:0.1476, Time_for_epoch: 34.8304
Gen 1 Tree 1: Epoch [21/100], lr:0.0052, Loss:0.1291, Time_for_epoch: 34.7587
Gen 1 Tree 1: Epoch [22/100], lr:0.0052, Loss:0.1233, Time_for_epoch: 34.7709
Gen 1 Tree 1: Epoch [23/100], lr:0.0052, Loss:0.1173, Time_for_epoch: 34.7641
Gen 1 Tree 1: Epoch [24/100], lr:0.0052, Loss:0.1116, Time_for_epoch: 34.7504
Gen 1 Tree 1: Epoch [25/100], lr:0.0052, Loss:0.1045, Time_for_epoch: 34.8053
