start Python
Time_data_preparation: 1.0694
Testing scheduler 0: CyclicLR
Method 1: Epoch [71/100], lr:0.0010, Loss:0.0022, Time_for_epoch: 51.0267
Method 1: Epoch [72/100], lr:0.0010, Loss:0.0029, Time_for_epoch: 51.0131
Method 1: Epoch [73/100], lr:0.0010, Loss:0.0024, Time_for_epoch: 51.0227
Method 1: Epoch [74/100], lr:0.0010, Loss:0.0024, Time_for_epoch: 51.0279
Method 1: Epoch [75/100], lr:0.0011, Loss:0.0041, Time_for_epoch: 51.0202
Method 1: Epoch [76/100], lr:0.0011, Loss:0.0012, Time_for_epoch: 51.0304
Method 1: Epoch [77/100], lr:0.0011, Loss:0.0021, Time_for_epoch: 51.0314
Method 1: Epoch [78/100], lr:0.0010, Loss:0.0037, Time_for_epoch: 51.0170
Method 1: Epoch [79/100], lr:0.0010, Loss:0.0014, Time_for_epoch: 51.0330
Method 1: Epoch [80/100], lr:0.0010, Loss:0.0029, Time_for_epoch: 51.0203
Method 1: Epoch [81/100], lr:0.0010, Loss:0.0048, Time_for_epoch: 51.0169
Method 1: Epoch [82/100], lr:0.0010, Loss:0.0032, Time_for_epoch: 51.0255
Method 1: Epoch [83/100], lr:0.0010, Loss:0.0015, Time_for_epoch: 51.0241
Method 1: Epoch [84/100], lr:0.0010, Loss:0.0004, Time_for_epoch: 51.0223
Method 1: Epoch [85/100], lr:0.0010, Loss:0.0004, Time_for_epoch: 51.0305
Method 1: Epoch [86/100], lr:0.0010, Loss:0.0016, Time_for_epoch: 51.0134
Method 1: Epoch [87/100], lr:0.0010, Loss:0.0083, Time_for_epoch: 51.0280
Method 1: Epoch [88/100], lr:0.0010, Loss:0.0027, Time_for_epoch: 51.0313
Method 1: Epoch [89/100], lr:0.0010, Loss:0.0013, Time_for_epoch: 51.0291
Method 1: Epoch [90/100], lr:0.0010, Loss:0.0027, Time_for_epoch: 51.0168
Method 1: Epoch [91/100], lr:0.0010, Loss:0.0023, Time_for_epoch: 51.0279
Method 1: Epoch [92/100], lr:0.0010, Loss:0.0006, Time_for_epoch: 50.9836
Method 1: Epoch [93/100], lr:0.0010, Loss:0.0031, Time_for_epoch: 51.0157
Method 1: Epoch [94/100], lr:0.0010, Loss:0.0024, Time_for_epoch: 51.0202
Method 1: Epoch [95/100], lr:0.0010, Loss:0.0031, Time_for_epoch: 51.0262
Method 1: Epoch [96/100], lr:0.0010, Loss:0.0040, Time_for_epoch: 51.0176
Method 1: Epoch [97/100], lr:0.0010, Loss:0.0029, Time_for_epoch: 50.6118
Method 1: Epoch [98/100], lr:0.0010, Loss:0.0007, Time_for_epoch: 51.0372
Method 1: Epoch [99/100], lr:0.0010, Loss:0.0003, Time_for_epoch: 51.0367
Method 1: Epoch [100/100], lr:0.0010, Loss:0.0007, Time_for_epoch: 51.0006
Method 1: TestLoss: 0.8937, TestAccuracy: 0.8840, Time_for_individ: 5105.3087
Testing scheduler 2: StepLR
Method 2: Epoch [1/100], lr:0.0100, Loss:1.6802, Time_for_epoch: 51.0597
Method 2: Epoch [2/100], lr:0.0100, Loss:1.0939, Time_for_epoch: 51.0387
Method 2: Epoch [3/100], lr:0.0100, Loss:0.8162, Time_for_epoch: 51.0113
Method 2: Epoch [4/100], lr:0.0095, Loss:0.6421, Time_for_epoch: 51.0481
Method 2: Epoch [5/100], lr:0.0095, Loss:0.5427, Time_for_epoch: 51.0517
Method 2: Epoch [6/100], lr:0.0095, Loss:0.4634, Time_for_epoch: 51.0384
Method 2: Epoch [7/100], lr:0.0090, Loss:0.3956, Time_for_epoch: 51.0398
Method 2: Epoch [8/100], lr:0.0090, Loss:0.3463, Time_for_epoch: 51.0509
Method 2: Epoch [9/100], lr:0.0090, Loss:0.3022, Time_for_epoch: 51.0430
Method 2: Epoch [10/100], lr:0.0086, Loss:0.2526, Time_for_epoch: 51.0223
Method 2: Epoch [11/100], lr:0.0086, Loss:0.2171, Time_for_epoch: 51.0347
Method 2: Epoch [12/100], lr:0.0086, Loss:0.1845, Time_for_epoch: 51.0655
Method 2: Epoch [13/100], lr:0.0081, Loss:0.1503, Time_for_epoch: 51.0196
Method 2: Epoch [14/100], lr:0.0081, Loss:0.1355, Time_for_epoch: 51.0393
Method 2: Epoch [15/100], lr:0.0081, Loss:0.1180, Time_for_epoch: 51.0355
Method 2: Epoch [16/100], lr:0.0077, Loss:0.0941, Time_for_epoch: 50.7814
Method 2: Epoch [17/100], lr:0.0077, Loss:0.0827, Time_for_epoch: 50.9357
Method 2: Epoch [18/100], lr:0.0077, Loss:0.0761, Time_for_epoch: 51.0336
Method 2: Epoch [19/100], lr:0.0074, Loss:0.0594, Time_for_epoch: 51.0277
Method 2: Epoch [20/100], lr:0.0074, Loss:0.0668, Time_for_epoch: 51.0383
Method 2: Epoch [21/100], lr:0.0074, Loss:0.0541, Time_for_epoch: 51.0133
Method 2: Epoch [22/100], lr:0.0070, Loss:0.0450, Time_for_epoch: 50.9691
Method 2: Epoch [23/100], lr:0.0070, Loss:0.0521, Time_for_epoch: 50.8276
Method 2: Epoch [24/100], lr:0.0070, Loss:0.0383, Time_for_epoch: 50.8178
Method 2: Epoch [25/100], lr:0.0066, Loss:0.0418, Time_for_epoch: 50.8622
Method 2: Epoch [26/100], lr:0.0066, Loss:0.0350, Time_for_epoch: 50.8454
Method 2: Epoch [27/100], lr:0.0066, Loss:0.0385, Time_for_epoch: 50.8506
Method 2: Epoch [28/100], lr:0.0063, Loss:0.0308, Time_for_epoch: 50.8507
Method 2: Epoch [29/100], lr:0.0063, Loss:0.0222, Time_for_epoch: 50.8490
Method 2: Epoch [30/100], lr:0.0063, Loss:0.0355, Time_for_epoch: 50.8481
Method 2: Epoch [31/100], lr:0.0060, Loss:0.0227, Time_for_epoch: 50.8591
Method 2: Epoch [32/100], lr:0.0060, Loss:0.0230, Time_for_epoch: 50.8359
Method 2: Epoch [33/100], lr:0.0060, Loss:0.0289, Time_for_epoch: 50.8566
Method 2: Epoch [34/100], lr:0.0057, Loss:0.0192, Time_for_epoch: 50.8381
Method 2: Epoch [35/100], lr:0.0057, Loss:0.0259, Time_for_epoch: 50.8646
Method 2: Epoch [36/100], lr:0.0057, Loss:0.0241, Time_for_epoch: 50.8053
Method 2: Epoch [37/100], lr:0.0054, Loss:0.0175, Time_for_epoch: 50.8474
Method 2: Epoch [38/100], lr:0.0054, Loss:0.0179, Time_for_epoch: 50.8264
Method 2: Epoch [39/100], lr:0.0054, Loss:0.0164, Time_for_epoch: 50.8405
Method 2: Epoch [40/100], lr:0.0051, Loss:0.0142, Time_for_epoch: 50.4670
Method 2: Epoch [41/100], lr:0.0051, Loss:0.0183, Time_for_epoch: 50.8590
Method 2: Epoch [42/100], lr:0.0051, Loss:0.0201, Time_for_epoch: 50.8534
Method 2: Epoch [43/100], lr:0.0049, Loss:0.0105, Time_for_epoch: 50.8509
Method 2: Epoch [44/100], lr:0.0049, Loss:0.0166, Time_for_epoch: 50.8228
Method 2: Epoch [45/100], lr:0.0049, Loss:0.0148, Time_for_epoch: 50.9047
Method 2: Epoch [46/100], lr:0.0046, Loss:0.0076, Time_for_epoch: 50.8408
Method 2: Epoch [47/100], lr:0.0046, Loss:0.0124, Time_for_epoch: 50.8926
Method 2: Epoch [48/100], lr:0.0046, Loss:0.0161, Time_for_epoch: 50.8697
Method 2: Epoch [49/100], lr:0.0044, Loss:0.0101, Time_for_epoch: 50.8570
Method 2: Epoch [50/100], lr:0.0044, Loss:0.0061, Time_for_epoch: 50.8425
Method 2: Epoch [51/100], lr:0.0044, Loss:0.0104, Time_for_epoch: 50.9267
Method 2: Epoch [52/100], lr:0.0042, Loss:0.0165, Time_for_epoch: 50.8839
Method 2: Epoch [53/100], lr:0.0042, Loss:0.0107, Time_for_epoch: 50.8973
Method 2: Epoch [54/100], lr:0.0042, Loss:0.0064, Time_for_epoch: 50.8835
Method 2: Epoch [55/100], lr:0.0040, Loss:0.0044, Time_for_epoch: 50.8951
Method 2: Epoch [56/100], lr:0.0040, Loss:0.0069, Time_for_epoch: 50.9542
Method 2: Epoch [57/100], lr:0.0040, Loss:0.0110, Time_for_epoch: 50.8673
Method 2: Epoch [58/100], lr:0.0038, Loss:0.0055, Time_for_epoch: 50.9253
Method 2: Epoch [59/100], lr:0.0038, Loss:0.0074, Time_for_epoch: 50.8771
Method 2: Epoch [60/100], lr:0.0038, Loss:0.0055, Time_for_epoch: 50.9000
Method 2: Epoch [61/100], lr:0.0036, Loss:0.0056, Time_for_epoch: 50.9324
Method 2: Epoch [62/100], lr:0.0036, Loss:0.0109, Time_for_epoch: 51.0387
Method 2: Epoch [63/100], lr:0.0036, Loss:0.0079, Time_for_epoch: 50.9079
Method 2: Epoch [64/100], lr:0.0034, Loss:0.0041, Time_for_epoch: 50.8907
Method 2: Epoch [65/100], lr:0.0034, Loss:0.0049, Time_for_epoch: 50.9035
Method 2: Epoch [66/100], lr:0.0034, Loss:0.0099, Time_for_epoch: 50.8317
Method 2: Epoch [67/100], lr:0.0032, Loss:0.0047, Time_for_epoch: 50.9130
Method 2: Epoch [68/100], lr:0.0032, Loss:0.0017, Time_for_epoch: 50.9005
Method 2: Epoch [69/100], lr:0.0032, Loss:0.0039, Time_for_epoch: 50.8664
Method 2: Epoch [70/100], lr:0.0031, Loss:0.0052, Time_for_epoch: 50.9248
Method 2: Epoch [71/100], lr:0.0031, Loss:0.0057, Time_for_epoch: 50.8846
Method 2: Epoch [72/100], lr:0.0031, Loss:0.0053, Time_for_epoch: 50.8996
Method 2: Epoch [73/100], lr:0.0029, Loss:0.0042, Time_for_epoch: 50.9061
Method 2: Epoch [74/100], lr:0.0029, Loss:0.0033, Time_for_epoch: 50.9118
Method 2: Epoch [75/100], lr:0.0029, Loss:0.0046, Time_for_epoch: 50.8811
Method 2: Epoch [76/100], lr:0.0028, Loss:0.0020, Time_for_epoch: 50.9274
Method 2: Epoch [77/100], lr:0.0028, Loss:0.0061, Time_for_epoch: 50.8472
Method 2: Epoch [78/100], lr:0.0028, Loss:0.0040, Time_for_epoch: 50.9065
Method 2: Epoch [79/100], lr:0.0026, Loss:0.0039, Time_for_epoch: 50.9138
Method 2: Epoch [80/100], lr:0.0026, Loss:0.0020, Time_for_epoch: 50.8964
Method 2: Epoch [81/100], lr:0.0026, Loss:0.0016, Time_for_epoch: 50.9412
Method 2: Epoch [82/100], lr:0.0025, Loss:0.0012, Time_for_epoch: 50.9003
Method 2: Epoch [83/100], lr:0.0025, Loss:0.0008, Time_for_epoch: 50.9099
Method 2: Epoch [84/100], lr:0.0025, Loss:0.0076, Time_for_epoch: 50.4658
Method 2: Epoch [85/100], lr:0.0024, Loss:0.0050, Time_for_epoch: 50.9341
Method 2: Epoch [86/100], lr:0.0024, Loss:0.0024, Time_for_epoch: 50.9361
Method 2: Epoch [87/100], lr:0.0024, Loss:0.0011, Time_for_epoch: 50.8782
Method 2: Epoch [88/100], lr:0.0023, Loss:0.0012, Time_for_epoch: 50.9158
Method 2: Epoch [89/100], lr:0.0023, Loss:0.0037, Time_for_epoch: 50.9193
Method 2: Epoch [90/100], lr:0.0023, Loss:0.0019, Time_for_epoch: 50.9156
Method 2: Epoch [91/100], lr:0.0021, Loss:0.0017, Time_for_epoch: 50.4976
Method 2: Epoch [92/100], lr:0.0021, Loss:0.0022, Time_for_epoch: 50.5328
Method 2: Epoch [93/100], lr:0.0021, Loss:0.0029, Time_for_epoch: 50.4673
Method 2: Epoch [94/100], lr:0.0020, Loss:0.0015, Time_for_epoch: 50.4913
Method 2: Epoch [95/100], lr:0.0020, Loss:0.0014, Time_for_epoch: 50.4707
Method 2: Epoch [96/100], lr:0.0020, Loss:0.0009, Time_for_epoch: 50.5205
Method 2: Epoch [97/100], lr:0.0019, Loss:0.0018, Time_for_epoch: 50.4854
Method 2: Epoch [98/100], lr:0.0019, Loss:0.0015, Time_for_epoch: 50.4949
Method 2: Epoch [99/100], lr:0.0019, Loss:0.0022, Time_for_epoch: 50.4509
