start Python
Time_data_preparation: 1.0781
Testing expression log(e)[0.         0.69314718 1.09861229 1.38629436 1.60943791 1.79175947
 1.94591015 2.07944154 2.19722458 2.30258509 2.39789527 2.48490665
TestLoss: 0.8182, TestAccuracy: 0.8590, Time_for_individ: 2222.5749
Epoch [1/100], lr:0.0000, Loss:2.3367, Time_for_epoch: 22.0965
Epoch [2/100], lr:0.0007, Loss:1.4453, Time_for_epoch: 22.0177
Epoch [3/100], lr:0.0011, Loss:1.0137, Time_for_epoch: 22.1081
Epoch [4/100], lr:0.0014, Loss:0.8056, Time_for_epoch: 22.0366
Epoch [5/100], lr:0.0016, Loss:0.6712, Time_for_epoch: 22.0723
Epoch [6/100], lr:0.0018, Loss:0.5795, Time_for_epoch: 22.0731
Epoch [7/100], lr:0.0019, Loss:0.5070, Time_for_epoch: 22.0993
Epoch [8/100], lr:0.0021, Loss:0.4567, Time_for_epoch: 22.0098
Epoch [9/100], lr:0.0022, Loss:0.4096, Time_for_epoch: 21.9906
Epoch [10/100], lr:0.0023, Loss:0.3802, Time_for_epoch: 22.0712
Epoch [11/100], lr:0.0024, Loss:0.3498, Time_for_epoch: 22.0756
Epoch [12/100], lr:0.0025, Loss:0.3162, Time_for_epoch: 22.0913
Epoch [13/100], lr:0.0026, Loss:0.2901, Time_for_epoch: 22.1121
Epoch [14/100], lr:0.0026, Loss:0.2738, Time_for_epoch: 22.1249
Epoch [15/100], lr:0.0027, Loss:0.2518, Time_for_epoch: 22.0454
Epoch [16/100], lr:0.0028, Loss:0.2264, Time_for_epoch: 22.1075
Epoch [17/100], lr:0.0028, Loss:0.2101, Time_for_epoch: 22.0250
Epoch [18/100], lr:0.0029, Loss:0.2002, Time_for_epoch: 22.0152
Epoch [19/100], lr:0.0029, Loss:0.1857, Time_for_epoch: 22.1300
Epoch [20/100], lr:0.0030, Loss:0.1732, Time_for_epoch: 22.1189
Epoch [21/100], lr:0.0030, Loss:0.1581, Time_for_epoch: 22.1118
Epoch [22/100], lr:0.0031, Loss:0.1520, Time_for_epoch: 22.1058
Epoch [23/100], lr:0.0031, Loss:0.1381, Time_for_epoch: 22.1056
Epoch [24/100], lr:0.0032, Loss:0.1281, Time_for_epoch: 22.0783
Epoch [25/100], lr:0.0032, Loss:0.1241, Time_for_epoch: 22.1392
Epoch [26/100], lr:0.0033, Loss:0.1214, Time_for_epoch: 22.1136
Epoch [27/100], lr:0.0033, Loss:0.1151, Time_for_epoch: 22.1270
Epoch [28/100], lr:0.0033, Loss:0.1087, Time_for_epoch: 22.1077
Epoch [29/100], lr:0.0034, Loss:0.1036, Time_for_epoch: 22.1163
Epoch [30/100], lr:0.0034, Loss:0.1042, Time_for_epoch: 22.1122
Epoch [31/100], lr:0.0034, Loss:0.0957, Time_for_epoch: 22.1398
Epoch [32/100], lr:0.0035, Loss:0.0884, Time_for_epoch: 22.0189
Epoch [33/100], lr:0.0035, Loss:0.0935, Time_for_epoch: 22.1299
Epoch [34/100], lr:0.0035, Loss:0.0869, Time_for_epoch: 22.0662
Epoch [35/100], lr:0.0036, Loss:0.0874, Time_for_epoch: 22.1034
Epoch [36/100], lr:0.0036, Loss:0.0815, Time_for_epoch: 22.0783
Epoch [37/100], lr:0.0036, Loss:0.0743, Time_for_epoch: 22.1439
Epoch [38/100], lr:0.0036, Loss:0.0769, Time_for_epoch: 22.0591
Epoch [39/100], lr:0.0037, Loss:0.0755, Time_for_epoch: 22.0884
Epoch [40/100], lr:0.0037, Loss:0.0730, Time_for_epoch: 22.1237
Epoch [41/100], lr:0.0037, Loss:0.0604, Time_for_epoch: 22.1206
Epoch [42/100], lr:0.0037, Loss:0.0679, Time_for_epoch: 22.0174
Epoch [43/100], lr:0.0038, Loss:0.0713, Time_for_epoch: 22.1062
Epoch [44/100], lr:0.0038, Loss:0.0600, Time_for_epoch: 22.1158
Epoch [45/100], lr:0.0038, Loss:0.0651, Time_for_epoch: 22.0493
Epoch [46/100], lr:0.0038, Loss:0.0549, Time_for_epoch: 22.0528
