start Python
Time_data_preparation: 1.1842
Testing scheduler 0: StepLR
Method 1: Epoch [1/150], lr:0.0100, Loss:7.2535, Time_for_epoch: 46.1822
Method 1: Epoch [2/150], lr:0.0095, Loss:4.6302, Time_for_epoch: 46.2137
Method 1: Epoch [3/150], lr:0.0090, Loss:4.1950, Time_for_epoch: 46.1709
Method 1: Epoch [4/150], lr:0.0086, Loss:4.0788, Time_for_epoch: 46.1735
Method 1: Epoch [5/150], lr:0.0081, Loss:3.9008, Time_for_epoch: 46.1678
Method 1: Epoch [6/150], lr:0.0077, Loss:3.7332, Time_for_epoch: 46.1886
Method 1: Epoch [7/150], lr:0.0074, Loss:3.5721, Time_for_epoch: 46.2083
Method 1: Epoch [8/150], lr:0.0070, Loss:3.4024, Time_for_epoch: 46.1995
Method 1: Epoch [9/150], lr:0.0066, Loss:3.2242, Time_for_epoch: 46.2188
Method 1: Epoch [10/150], lr:0.0063, Loss:3.0755, Time_for_epoch: 45.5710
Method 1: Epoch [11/150], lr:0.0060, Loss:2.8910, Time_for_epoch: 46.5331
Method 1: Epoch [12/150], lr:0.0057, Loss:2.6941, Time_for_epoch: 46.8103
Method 1: Epoch [13/150], lr:0.0054, Loss:2.5059, Time_for_epoch: 46.1172
Method 1: Epoch [14/150], lr:0.0051, Loss:2.3306, Time_for_epoch: 46.1498
Method 1: Epoch [15/150], lr:0.0049, Loss:2.1746, Time_for_epoch: 46.1722
Method 1: Epoch [16/150], lr:0.0046, Loss:2.0505, Time_for_epoch: 46.0926
Method 1: Epoch [17/150], lr:0.0044, Loss:1.9291, Time_for_epoch: 46.0789
Method 1: Epoch [18/150], lr:0.0042, Loss:1.8257, Time_for_epoch: 46.0830
Method 1: Epoch [19/150], lr:0.0040, Loss:1.7236, Time_for_epoch: 46.0265
Method 1: Epoch [20/150], lr:0.0038, Loss:1.6325, Time_for_epoch: 45.9729
Method 1: Epoch [21/150], lr:0.0036, Loss:1.5446, Time_for_epoch: 46.0509
Method 1: Epoch [22/150], lr:0.0034, Loss:1.4610, Time_for_epoch: 46.0953
Method 1: Epoch [23/150], lr:0.0032, Loss:1.3835, Time_for_epoch: 45.6339
Method 1: Epoch [24/150], lr:0.0031, Loss:1.3083, Time_for_epoch: 45.7200
Method 1: Epoch [25/150], lr:0.0029, Loss:1.2406, Time_for_epoch: 45.6715
Method 1: Epoch [26/150], lr:0.0028, Loss:1.1759, Time_for_epoch: 45.6936
Method 1: Epoch [27/150], lr:0.0026, Loss:1.1128, Time_for_epoch: 45.7199
Method 1: Epoch [28/150], lr:0.0025, Loss:1.0520, Time_for_epoch: 45.7758
Method 1: Epoch [29/150], lr:0.0024, Loss:1.0099, Time_for_epoch: 45.7004
Method 1: Epoch [30/150], lr:0.0023, Loss:0.9426, Time_for_epoch: 45.7434
Method 1: Epoch [31/150], lr:0.0021, Loss:0.8898, Time_for_epoch: 45.6361
Method 1: Epoch [32/150], lr:0.0020, Loss:0.8361, Time_for_epoch: 45.7054
Method 1: Epoch [33/150], lr:0.0019, Loss:0.7897, Time_for_epoch: 45.7531
Method 1: Epoch [34/150], lr:0.0018, Loss:0.7457, Time_for_epoch: 45.6538
Method 1: Epoch [35/150], lr:0.0017, Loss:0.7010, Time_for_epoch: 45.7432
Method 1: Epoch [36/150], lr:0.0017, Loss:0.6591, Time_for_epoch: 45.7060
Method 1: Epoch [37/150], lr:0.0016, Loss:0.6180, Time_for_epoch: 45.7367
Method 1: Epoch [38/150], lr:0.0015, Loss:0.5800, Time_for_epoch: 45.5414
Method 1: Epoch [39/150], lr:0.0014, Loss:0.5481, Time_for_epoch: 45.5807
Method 1: Epoch [40/150], lr:0.0014, Loss:0.5035, Time_for_epoch: 45.5773
Method 1: Epoch [41/150], lr:0.0013, Loss:0.4853, Time_for_epoch: 45.5946
Method 1: Epoch [42/150], lr:0.0012, Loss:0.4528, Time_for_epoch: 45.5973
Method 1: Epoch [43/150], lr:0.0012, Loss:0.4253, Time_for_epoch: 45.5909
Method 1: Epoch [44/150], lr:0.0011, Loss:0.3975, Time_for_epoch: 45.6178
Method 1: Epoch [45/150], lr:0.0010, Loss:0.3686, Time_for_epoch: 45.5737
Method 1: Epoch [46/150], lr:0.0010, Loss:0.3512, Time_for_epoch: 45.5661
Method 1: Epoch [47/150], lr:0.0009, Loss:0.3277, Time_for_epoch: 45.5674
Method 1: Epoch [48/150], lr:0.0009, Loss:0.3035, Time_for_epoch: 45.5593
Method 1: Epoch [49/150], lr:0.0009, Loss:0.2940, Time_for_epoch: 45.4934
Method 1: Epoch [50/150], lr:0.0008, Loss:0.2734, Time_for_epoch: 45.0012
Method 1: Epoch [51/150], lr:0.0008, Loss:0.2574, Time_for_epoch: 45.6313
Method 1: Epoch [52/150], lr:0.0007, Loss:0.2386, Time_for_epoch: 45.6355
Method 1: Epoch [53/150], lr:0.0007, Loss:0.2230, Time_for_epoch: 45.6131
Method 1: Epoch [54/150], lr:0.0007, Loss:0.2064, Time_for_epoch: 45.5934
Method 1: Epoch [55/150], lr:0.0006, Loss:0.1975, Time_for_epoch: 45.6493
Method 1: Epoch [56/150], lr:0.0006, Loss:0.1859, Time_for_epoch: 46.0283
Method 1: Epoch [57/150], lr:0.0006, Loss:0.1723, Time_for_epoch: 46.0263
Method 1: Epoch [58/150], lr:0.0005, Loss:0.1590, Time_for_epoch: 45.9017
Method 1: Epoch [59/150], lr:0.0005, Loss:0.1538, Time_for_epoch: 45.9280
Method 1: Epoch [60/150], lr:0.0005, Loss:0.1464, Time_for_epoch: 45.8818
Method 1: Epoch [61/150], lr:0.0005, Loss:0.1384, Time_for_epoch: 45.9489
Method 1: Epoch [62/150], lr:0.0004, Loss:0.1309, Time_for_epoch: 45.9608
Method 1: Epoch [63/150], lr:0.0004, Loss:0.1226, Time_for_epoch: 45.9511
Method 1: Epoch [64/150], lr:0.0004, Loss:0.1178, Time_for_epoch: 45.9875
Method 1: Epoch [65/150], lr:0.0004, Loss:0.1107, Time_for_epoch: 45.3163
Method 1: Epoch [66/150], lr:0.0004, Loss:0.1037, Time_for_epoch: 45.1391
Method 1: Epoch [67/150], lr:0.0003, Loss:0.0998, Time_for_epoch: 45.1354
Method 1: Epoch [68/150], lr:0.0003, Loss:0.0948, Time_for_epoch: 45.1655
Method 1: Epoch [69/150], lr:0.0003, Loss:0.0924, Time_for_epoch: 45.0759
Method 1: Epoch [70/150], lr:0.0003, Loss:0.0874, Time_for_epoch: 45.2133
Method 1: Epoch [71/150], lr:0.0003, Loss:0.0827, Time_for_epoch: 45.1378
Method 1: Epoch [72/150], lr:0.0003, Loss:0.0791, Time_for_epoch: 45.1440
Method 1: Epoch [73/150], lr:0.0002, Loss:0.0758, Time_for_epoch: 45.2885
Method 1: Epoch [74/150], lr:0.0002, Loss:0.0720, Time_for_epoch: 45.8912
Method 1: Epoch [75/150], lr:0.0002, Loss:0.0706, Time_for_epoch: 45.9228
Method 1: Epoch [76/150], lr:0.0002, Loss:0.0653, Time_for_epoch: 45.9220
Method 1: Epoch [77/150], lr:0.0002, Loss:0.0630, Time_for_epoch: 45.9322
Method 1: Epoch [78/150], lr:0.0002, Loss:0.0632, Time_for_epoch: 45.8819
Method 1: Epoch [79/150], lr:0.0002, Loss:0.0594, Time_for_epoch: 45.8850
Method 1: Epoch [80/150], lr:0.0002, Loss:0.0560, Time_for_epoch: 45.8993
Method 1: Epoch [81/150], lr:0.0002, Loss:0.0552, Time_for_epoch: 45.8524
Method 1: Epoch [82/150], lr:0.0002, Loss:0.0542, Time_for_epoch: 45.9070
Method 1: Epoch [83/150], lr:0.0001, Loss:0.0517, Time_for_epoch: 45.8384
Method 1: Epoch [84/150], lr:0.0001, Loss:0.0519, Time_for_epoch: 45.5709
Method 1: Epoch [85/150], lr:0.0001, Loss:0.0482, Time_for_epoch: 45.7502
Method 1: Epoch [86/150], lr:0.0001, Loss:0.0466, Time_for_epoch: 45.8829
Method 1: Epoch [87/150], lr:0.0001, Loss:0.0457, Time_for_epoch: 45.8452
Method 1: Epoch [88/150], lr:0.0001, Loss:0.0455, Time_for_epoch: 45.8965
Method 1: Epoch [89/150], lr:0.0001, Loss:0.0459, Time_for_epoch: 45.4506
Method 1: Epoch [90/150], lr:0.0001, Loss:0.0433, Time_for_epoch: 45.9725
Method 1: Epoch [91/150], lr:0.0001, Loss:0.0415, Time_for_epoch: 45.9588
Method 1: Epoch [92/150], lr:0.0001, Loss:0.0402, Time_for_epoch: 45.9500
Method 1: Epoch [93/150], lr:0.0001, Loss:0.0415, Time_for_epoch: 45.9151
Method 1: Epoch [94/150], lr:0.0001, Loss:0.0397, Time_for_epoch: 45.9134
Method 1: Epoch [95/150], lr:0.0001, Loss:0.0397, Time_for_epoch: 45.9064
Method 1: Epoch [96/150], lr:0.0001, Loss:0.0379, Time_for_epoch: 45.9527
Method 1: Epoch [97/150], lr:0.0001, Loss:0.0372, Time_for_epoch: 45.7948
Method 1: Epoch [98/150], lr:0.0001, Loss:0.0350, Time_for_epoch: 45.5860
Method 1: Epoch [99/150], lr:0.0001, Loss:0.0376, Time_for_epoch: 45.6030
Method 1: Epoch [100/150], lr:0.0001, Loss:0.0356, Time_for_epoch: 45.5536
Method 1: Epoch [101/150], lr:0.0001, Loss:0.0365, Time_for_epoch: 45.5499
Method 1: Epoch [102/150], lr:0.0001, Loss:0.0341, Time_for_epoch: 45.6405
Method 1: Epoch [103/150], lr:0.0001, Loss:0.0334, Time_for_epoch: 45.5834
Method 1: Epoch [104/150], lr:0.0001, Loss:0.0340, Time_for_epoch: 45.5915
Method 1: Epoch [105/150], lr:0.0000, Loss:0.0330, Time_for_epoch: 45.6399
Method 1: Epoch [106/150], lr:0.0000, Loss:0.0315, Time_for_epoch: 45.6215
Method 1: Epoch [107/150], lr:0.0000, Loss:0.0305, Time_for_epoch: 45.6158
Method 1: Epoch [108/150], lr:0.0000, Loss:0.0300, Time_for_epoch: 45.6375
Method 1: Epoch [109/150], lr:0.0000, Loss:0.0311, Time_for_epoch: 45.6356
Method 1: Epoch [110/150], lr:0.0000, Loss:0.0303, Time_for_epoch: 45.6185
Method 1: Epoch [111/150], lr:0.0000, Loss:0.0289, Time_for_epoch: 45.6438
Method 1: Epoch [112/150], lr:0.0000, Loss:0.0301, Time_for_epoch: 45.6162
Method 1: Epoch [113/150], lr:0.0000, Loss:0.0295, Time_for_epoch: 45.6281
Method 1: Epoch [114/150], lr:0.0000, Loss:0.0299, Time_for_epoch: 45.6234
Method 1: Epoch [115/150], lr:0.0000, Loss:0.0285, Time_for_epoch: 45.6117
Method 1: Epoch [116/150], lr:0.0000, Loss:0.0296, Time_for_epoch: 45.6184
Method 1: Epoch [117/150], lr:0.0000, Loss:0.0283, Time_for_epoch: 45.6243
Method 1: Epoch [118/150], lr:0.0000, Loss:0.0283, Time_for_epoch: 45.6325
Method 1: Epoch [119/150], lr:0.0000, Loss:0.0280, Time_for_epoch: 45.6274
Method 1: Epoch [120/150], lr:0.0000, Loss:0.0279, Time_for_epoch: 45.6207
Method 1: Epoch [121/150], lr:0.0000, Loss:0.0290, Time_for_epoch: 45.6460
Method 1: Epoch [122/150], lr:0.0000, Loss:0.0275, Time_for_epoch: 45.5908
Method 1: Epoch [123/150], lr:0.0000, Loss:0.0267, Time_for_epoch: 45.5856
Method 1: Epoch [124/150], lr:0.0000, Loss:0.0273, Time_for_epoch: 45.5898
Method 1: Epoch [125/150], lr:0.0000, Loss:0.0265, Time_for_epoch: 45.6189
Method 1: Epoch [126/150], lr:0.0000, Loss:0.0270, Time_for_epoch: 45.5984
Method 1: Epoch [127/150], lr:0.0000, Loss:0.0271, Time_for_epoch: 45.6087
Method 1: Epoch [128/150], lr:0.0000, Loss:0.0268, Time_for_epoch: 45.2325
Method 1: Epoch [129/150], lr:0.0000, Loss:0.0273, Time_for_epoch: 45.9721
Method 1: Epoch [130/150], lr:0.0000, Loss:0.0275, Time_for_epoch: 45.9782
Method 1: Epoch [131/150], lr:0.0000, Loss:0.0262, Time_for_epoch: 45.9307
Method 1: Epoch [132/150], lr:0.0000, Loss:0.0265, Time_for_epoch: 45.9402
Method 1: Epoch [133/150], lr:0.0000, Loss:0.0271, Time_for_epoch: 46.7518
Method 1: Epoch [134/150], lr:0.0000, Loss:0.0252, Time_for_epoch: 46.7268
Method 1: Epoch [135/150], lr:0.0000, Loss:0.0262, Time_for_epoch: 46.7162
Method 1: Epoch [136/150], lr:0.0000, Loss:0.0261, Time_for_epoch: 46.6518
Method 1: Epoch [137/150], lr:0.0000, Loss:0.0251, Time_for_epoch: 46.6874
Method 1: Epoch [138/150], lr:0.0000, Loss:0.0255, Time_for_epoch: 46.7655
Method 1: Epoch [139/150], lr:0.0000, Loss:0.0251, Time_for_epoch: 46.6470
Method 1: Epoch [140/150], lr:0.0000, Loss:0.0254, Time_for_epoch: 46.6361
Method 1: Epoch [141/150], lr:0.0000, Loss:0.0257, Time_for_epoch: 46.6347
Method 1: Epoch [142/150], lr:0.0000, Loss:0.0264, Time_for_epoch: 46.7146
Method 1: Epoch [143/150], lr:0.0000, Loss:0.0271, Time_for_epoch: 46.7497
Method 1: Epoch [144/150], lr:0.0000, Loss:0.0249, Time_for_epoch: 46.6708
Method 1: Epoch [145/150], lr:0.0000, Loss:0.0252, Time_for_epoch: 46.7473
Method 1: Epoch [146/150], lr:0.0000, Loss:0.0240, Time_for_epoch: 46.8066
Method 1: Epoch [147/150], lr:0.0000, Loss:0.0257, Time_for_epoch: 46.6351
Method 1: Epoch [148/150], lr:0.0000, Loss:0.0256, Time_for_epoch: 46.8146
Method 1: Epoch [149/150], lr:0.0000, Loss:0.0249, Time_for_epoch: 46.7448
Method 1: Epoch [150/150], lr:0.0000, Loss:0.0257, Time_for_epoch: 46.6759
